Country,city_name,Date(周),AOP,ASP,Avg Delivery Fee
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,278,221,28.55
MX,Las Choapas,2024-09-09 / 2024-09-15,281,246,34.35
MX,Acapulco,2024-09-09 / 2024-09-15,314,279,32.90
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,-,-,-
MX,Tehuacan,2024-09-09 / 2024-09-15,254,159,23.11
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,334,281,32.99
MX,Uruapan,2024-09-09 / 2024-09-15,-,-,-
MX,Zamora,2024-09-09 / 2024-09-15,-,-,-
MX,Solidaridad,2024-09-09 / 2024-09-15,330,270,39.88
MX,Chetumal,2024-09-09 / 2024-09-15,292,259,32.77
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,273,222,32.37
MX,Carmen,2024-09-09 / 2024-09-15,264,252,27.70
MX,Villahermosa,2024-09-09 / 2024-09-15,283,196,27.57
MX,Cancun,2024-09-09 / 2024-09-15,342,238,37.79
MX,Tapachula,2024-09-09 / 2024-09-15,250,235,27.92
MX,Oaxaca,2024-09-09 / 2024-09-15,259,184,21.10
MX,Cuernavaca,2024-09-09 / 2024-09-15,297,198,20.55
MX,Campeche,2024-09-09 / 2024-09-15,253,196,30.05
MX,Tlaxcala,2024-09-09 / 2024-09-15,275,203,29.26
MX,Pachuca,2024-09-09 / 2024-09-15,275,212,30.46
MX,Morelia,2024-09-09 / 2024-09-15,220,165,30.69
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,-,-,-
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,276,254,31.88
MX,Xalapa,2024-09-09 / 2024-09-15,292,232,32.81
MX,Cordoba,2024-09-09 / 2024-09-15,378,295,32.92
MX,Veracruz,2024-09-09 / 2024-09-15,253,192,24.06
MX,Merida,2024-09-09 / 2024-09-15,277,188,26.38
MX,Puebla,2024-09-09 / 2024-09-15,252,179,23.48
MX,Poza Rica de Hidalgo,2024-09-02 / 2024-09-08,285,218,28.24
MX,Las Choapas,2024-09-02 / 2024-09-08,305,268,40.92
MX,Acapulco,2024-09-02 / 2024-09-08,297,268,31.72
MX,Chilpancingo de los Bravo,2024-09-02 / 2024-09-08,-,-,-
MX,Tehuacan,2024-09-02 / 2024-09-08,264,168,25.08
MX,Uruapan,2024-09-02 / 2024-09-08,-,-,-
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,337,288,33.46
MX,Zamora,2024-09-02 / 2024-09-08,-,-,-
MX,Solidaridad,2024-09-02 / 2024-09-08,322,261,39.87
MX,Villahermosa,2024-09-02 / 2024-09-08,277,199,27.35
MX,Chetumal,2024-09-02 / 2024-09-08,278,251,31.03
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,269,221,32.29
MX,Carmen,2024-09-02 / 2024-09-08,308,294,31.00
MX,Cancun,2024-09-02 / 2024-09-08,347,237,38.34
MX,Tapachula,2024-09-02 / 2024-09-08,260,246,28.32
MX,Oaxaca,2024-09-02 / 2024-09-08,257,185,21.09
MX,Cuernavaca,2024-09-02 / 2024-09-08,294,198,20.71
MX,Campeche,2024-09-02 / 2024-09-08,253,190,28.58
MX,Tlaxcala,2024-09-02 / 2024-09-08,272,214,29.46
MX,Morelia,2024-09-02 / 2024-09-08,226,168,30.42
MX,Pachuca,2024-09-02 / 2024-09-08,271,211,29.63
MX,Cordoba,2024-09-02 / 2024-09-08,396,316,32.77
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,271,249,33.86
MX,Xalapa,2024-09-02 / 2024-09-08,292,240,32.13
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,-,-,-
MX,Veracruz,2024-09-02 / 2024-09-08,239,181,23.60
MX,Merida,2024-09-02 / 2024-09-08,278,193,27.00
MX,Puebla,2024-09-02 / 2024-09-08,252,182,23.46
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,264,188,25.03
MX,Las Choapas,2024-08-26 / 2024-09-01,288,261,36.25
MX,Acapulco,2024-08-26 / 2024-09-01,312,280,31.02
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,-,-,-
MX,Tehuacan,2024-08-26 / 2024-09-01,291,182,24.62
MX,Uruapan,2024-08-26 / 2024-09-01,-,-,-
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,344,296,33.53
MX,Zamora,2024-08-26 / 2024-09-01,-,-,-
MX,Solidaridad,2024-08-26 / 2024-09-01,322,259,40.20
MX,Carmen,2024-08-26 / 2024-09-01,290,264,27.65
MX,Villahermosa,2024-08-26 / 2024-09-01,283,198,26.60
MX,Chetumal,2024-08-26 / 2024-09-01,294,268,29.98
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,291,229,32.22
MX,Cancun,2024-08-26 / 2024-09-01,348,238,37.37
MX,Tapachula,2024-08-26 / 2024-09-01,263,237,27.43
MX,Oaxaca,2024-08-26 / 2024-09-01,269,189,21.80
MX,Cuernavaca,2024-08-26 / 2024-09-01,292,196,20.92
MX,Tlaxcala,2024-08-26 / 2024-09-01,291,225,31.67
MX,Campeche,2024-08-26 / 2024-09-01,256,199,29.77
MX,Morelia,2024-08-26 / 2024-09-01,226,168,30.52
MX,Pachuca,2024-08-26 / 2024-09-01,284,211,29.11
MX,Xalapa,2024-08-26 / 2024-09-01,288,231,31.65
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,-,-,-
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,269,245,33.58
MX,Cordoba,2024-08-26 / 2024-09-01,371,292,32.01
MX,Veracruz,2024-08-26 / 2024-09-01,244,185,23.95
MX,Merida,2024-08-26 / 2024-09-01,271,193,26.69
MX,Puebla,2024-08-26 / 2024-09-01,261,183,24.52
MX,Los Cabos,2024-09-09 / 2024-09-15,330,284,45.50
MX,Colima,2024-09-09 / 2024-09-15,287,251,40.44
MX,Manzanillo,2024-09-09 / 2024-09-15,296,247,38.16
MX,La Paz,2024-09-09 / 2024-09-15,312,262,30.63
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,291,267,29.35
MX,Nogales(SON),2024-09-09 / 2024-09-15,-,-,-
MX,Ensenada,2024-09-09 / 2024-09-15,280,223,33.23
MX,Navojoa,2024-09-09 / 2024-09-15,229,187,29.15
MX,Guaymas,2024-09-09 / 2024-09-15,-,-,-
MX,Ciudad Obregon,2024-09-09 / 2024-09-15,267,205,33.26
MX,Tepic,2024-09-09 / 2024-09-15,272,209,27.19
MX,Mazatlan,2024-09-09 / 2024-09-15,266,231,29.86
MX,Culiacan,2024-09-09 / 2024-09-15,315,241,40.40
MX,Tijuana,2024-09-09 / 2024-09-15,314,242,37.06
MX,Mexicali,2024-09-09 / 2024-09-15,305,233,33.98
MX,Hermosillo,2024-09-09 / 2024-09-15,270,206,21.48
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,289,224,35.18
MX,Guadalajara,2024-09-09 / 2024-09-15,258,197,27.35
MX,Los Cabos,2024-09-02 / 2024-09-08,325,282,45.78
MX,Colima,2024-09-02 / 2024-09-08,278,249,42.35
MX,Manzanillo,2024-09-02 / 2024-09-08,287,241,36.76
MX,La Paz,2024-09-02 / 2024-09-08,306,260,30.84
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,281,258,29.25
MX,Nogales(SON),2024-09-02 / 2024-09-08,-,-,-
MX,Ensenada,2024-09-02 / 2024-09-08,285,226,33.61
MX,Navojoa,2024-09-02 / 2024-09-08,217,184,28.66
MX,Guaymas,2024-09-02 / 2024-09-08,-,-,-
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,264,206,30.39
MX,Tepic,2024-09-02 / 2024-09-08,269,209,27.29
MX,Mazatlan,2024-09-02 / 2024-09-08,251,222,28.07
MX,Culiacan,2024-09-02 / 2024-09-08,283,218,34.58
MX,Tijuana,2024-09-02 / 2024-09-08,315,244,35.85
MX,Mexicali,2024-09-02 / 2024-09-08,308,238,34.51
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,289,227,34.72
MX,Hermosillo,2024-09-02 / 2024-09-08,270,210,21.45
MX,Guadalajara,2024-09-02 / 2024-09-08,258,199,27.57
MX,Los Cabos,2024-08-26 / 2024-09-01,332,287,46.91
MX,Manzanillo,2024-08-26 / 2024-09-01,289,254,35.55
MX,Colima,2024-08-26 / 2024-09-01,276,249,40.37
MX,La Paz,2024-08-26 / 2024-09-01,318,264,30.66
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,281,250,29.32
MX,Nogales(SON),2024-08-26 / 2024-09-01,-,-,-
MX,Ensenada,2024-08-26 / 2024-09-01,278,218,32.23
MX,Guaymas,2024-08-26 / 2024-09-01,-,-,-
MX,Navojoa,2024-08-26 / 2024-09-01,226,191,28.54
MX,Tepic,2024-08-26 / 2024-09-01,278,214,27.04
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,267,205,30.06
MX,Mazatlan,2024-08-26 / 2024-09-01,263,230,28.54
MX,Culiacan,2024-08-26 / 2024-09-01,286,218,35.04
MX,Tijuana,2024-08-26 / 2024-09-01,303,237,32.99
MX,Mexicali,2024-08-26 / 2024-09-01,308,236,34.16
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,285,213,33.46
MX,Hermosillo,2024-08-26 / 2024-09-01,271,208,21.88
MX,Guadalajara,2024-08-26 / 2024-09-01,260,203,27.88
MX,Delicias,2024-09-09 / 2024-09-15,301,244,35.74
MX,San Miguel de Allende,2024-09-09 / 2024-09-15,-,-,-
MX,Valles City,2024-09-09 / 2024-09-15,-,-,-
MX,Irapuato,2024-09-09 / 2024-09-15,279,220,29.11
MX,Salamanca,2024-09-09 / 2024-09-15,315,273,25.79
MX,Celaya,2024-09-09 / 2024-09-15,299,224,29.07
MX,Reynosa,2024-09-09 / 2024-09-15,-,-,-
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,364,285,42.65
MX,Piedras Negras,2024-09-09 / 2024-09-15,-,-,-
MX,Matamoros,2024-09-09 / 2024-09-15,275,243,26.64
MX,Torreon,2024-09-09 / 2024-09-15,247,187,33.78
MX,Monclova,2024-09-09 / 2024-09-15,-,-,-
MX,Chihuahua,2024-09-09 / 2024-09-15,274,211,37.30
MX,Durango,2024-09-09 / 2024-09-15,279,214,24.85
MX,San Juan del Río,2024-09-09 / 2024-09-15,317,207,35.00
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,341,259,42.05
MX,Victoria,2024-09-09 / 2024-09-15,283,202,37.65
MX,Saltillo,2024-09-09 / 2024-09-15,298,242,34.81
MX,Monterrey,2024-09-09 / 2024-09-15,301,228,37.15
MX,Aguascalientes,2024-09-09 / 2024-09-15,287,199,31.54
MX,Zacatecas,2024-09-09 / 2024-09-15,235,198,26.99
MX,Tampico,2024-09-09 / 2024-09-15,254,197,31.77
MX,Leon,2024-09-09 / 2024-09-15,301,200,34.36
MX,Queretaro,2024-09-09 / 2024-09-15,309,210,35.92
MX,San Luis Potosi,2024-09-09 / 2024-09-15,259,200,29.10
MX,Delicias,2024-09-02 / 2024-09-08,304,256,34.51
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,-,-,-
MX,Irapuato,2024-09-02 / 2024-09-08,287,229,29.90
MX,Valles City,2024-09-02 / 2024-09-08,-,-,-
MX,Salamanca,2024-09-02 / 2024-09-08,295,250,25.05
MX,Celaya,2024-09-02 / 2024-09-08,310,237,29.93
MX,Reynosa,2024-09-02 / 2024-09-08,-,-,-
MX,Matamoros,2024-09-02 / 2024-09-08,261,232,25.21
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,350,278,42.12
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-,-
MX,Torreon,2024-09-02 / 2024-09-08,244,188,34.45
MX,Monclova,2024-09-02 / 2024-09-08,-,-,-
MX,Durango,2024-09-02 / 2024-09-08,277,214,25.19
MX,Chihuahua,2024-09-02 / 2024-09-08,272,214,37.44
MX,San Juan del Río,2024-09-02 / 2024-09-08,325,211,34.30
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,339,260,42.41
MX,Victoria,2024-09-02 / 2024-09-08,291,215,38.79
MX,Saltillo,2024-09-02 / 2024-09-08,306,250,34.81
MX,Monterrey,2024-09-02 / 2024-09-08,302,230,38.40
MX,Aguascalientes,2024-09-02 / 2024-09-08,283,197,31.86
MX,Zacatecas,2024-09-02 / 2024-09-08,227,195,27.14
MX,Tampico,2024-09-02 / 2024-09-08,253,197,31.76
MX,Leon,2024-09-02 / 2024-09-08,295,198,33.78
MX,Queretaro,2024-09-02 / 2024-09-08,308,215,35.23
MX,San Luis Potosi,2024-09-02 / 2024-09-08,250,198,29.12
MX,Delicias,2024-08-26 / 2024-09-01,269,201,31.83
MX,San Miguel de Allende,2024-08-26 / 2024-09-01,-,-,-
MX,Valles City,2024-08-26 / 2024-09-01,-,-,-
MX,Irapuato,2024-08-26 / 2024-09-01,287,232,29.85
MX,Salamanca,2024-08-26 / 2024-09-01,303,266,25.79
MX,Celaya,2024-08-26 / 2024-09-01,303,229,29.16
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,364,282,42.51
MX,Reynosa,2024-08-26 / 2024-09-01,-,-,-
MX,Piedras Negras,2024-08-26 / 2024-09-01,-,-,-
MX,Matamoros,2024-08-26 / 2024-09-01,273,243,25.19
MX,Monclova,2024-08-26 / 2024-09-01,-,-,-
MX,Torreon,2024-08-26 / 2024-09-01,252,191,34.51
MX,Durango,2024-08-26 / 2024-09-01,280,213,24.99
MX,Chihuahua,2024-08-26 / 2024-09-01,273,216,37.52
MX,San Juan del Río,2024-08-26 / 2024-09-01,318,215,34.00
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,355,261,42.65
MX,Victoria,2024-08-26 / 2024-09-01,286,206,39.16
MX,Saltillo,2024-08-26 / 2024-09-01,303,241,33.80
MX,Monterrey,2024-08-26 / 2024-09-01,303,230,37.60
MX,Aguascalientes,2024-08-26 / 2024-09-01,287,201,31.67
MX,Zacatecas,2024-08-26 / 2024-09-01,241,207,27.45
MX,Tampico,2024-08-26 / 2024-09-01,251,197,31.42
MX,Leon,2024-08-26 / 2024-09-01,289,203,33.83
MX,San Luis Potosi,2024-08-26 / 2024-09-01,256,201,28.83
MX,Queretaro,2024-08-26 / 2024-09-01,303,214,34.97
MX,Mexico City,2024-09-09 / 2024-09-15,316,219,32.31
MX,Toluca,2024-09-09 / 2024-09-15,265,193,25.67
MX,Mexico City,2024-09-02 / 2024-09-08,315,222,32.31
MX,Toluca,2024-09-02 / 2024-09-08,273,202,25.19
MX,Mexico City,2024-08-26 / 2024-09-01,321,224,33.28
MX,Toluca,2024-08-26 / 2024-09-01,276,199,25.69
CO,Valledupar,2024-09-09 / 2024-09-15,-,-,-
CO,Santa marta,2024-09-09 / 2024-09-15,-,-,-
CO,Villavicencio,2024-09-09 / 2024-09-15,-,-,-
CO,Cúcuta,2024-09-09 / 2024-09-15,24766,18388,3827.76
CO,Barranquilla,2024-09-09 / 2024-09-15,46170,30596,5145.81
CO,Medellín,2024-09-09 / 2024-09-15,52858,33281,5916.17
CO,Bucaramanga,2024-09-09 / 2024-09-15,37022,23357,4940.41
CO,Cartagena,2024-09-09 / 2024-09-15,41923,27332,4565.82
CO,Manizales,2024-09-09 / 2024-09-15,-,-,-
CO,Ibagué,2024-09-09 / 2024-09-15,-,-,-
CO,Cali,2024-09-09 / 2024-09-15,49827,34837,5378.21
CO,Pereira,2024-09-09 / 2024-09-15,-,-,-
CO,"Bogotá, D.C.",2024-09-09 / 2024-09-15,49564,30841,5683.42
CO,Villavicencio,2024-09-02 / 2024-09-08,-,-,-
CO,Valledupar,2024-09-02 / 2024-09-08,-,-,-
CO,Santa marta,2024-09-02 / 2024-09-08,-,-,-
CO,Cúcuta,2024-09-02 / 2024-09-08,25720,17362,3841.61
CO,Barranquilla,2024-09-02 / 2024-09-08,45439,30005,5072.71
CO,Manizales,2024-09-02 / 2024-09-08,-,-,-
CO,Cartagena,2024-09-02 / 2024-09-08,39249,24021,4690.78
CO,Ibagué,2024-09-02 / 2024-09-08,-,-,-
CO,Medellín,2024-09-02 / 2024-09-08,52526,33088,5927.40
CO,Bucaramanga,2024-09-02 / 2024-09-08,36303,23109,4790.84
CO,Cali,2024-09-02 / 2024-09-08,50014,34979,5307.02
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,50181,30594,5638.02
CO,Pereira,2024-09-02 / 2024-09-08,-,-,-
CO,Valledupar,2024-08-26 / 2024-09-01,-,-,-
CO,Villavicencio,2024-08-26 / 2024-09-01,-,-,-
CO,Santa marta,2024-08-26 / 2024-09-01,-,-,-
CO,Cúcuta,2024-08-26 / 2024-09-01,31206,20903,3892.64
CO,Barranquilla,2024-08-26 / 2024-09-01,46236,28750,4923.68
CO,Medellín,2024-08-26 / 2024-09-01,52786,33373,6063.06
CO,Cartagena,2024-08-26 / 2024-09-01,40160,21427,4681.35
CO,Manizales,2024-08-26 / 2024-09-01,-,-,-
CO,Bucaramanga,2024-08-26 / 2024-09-01,37000,23189,4738.87
CO,Ibagué,2024-08-26 / 2024-09-01,-,-,-
CO,Cali,2024-08-26 / 2024-09-01,49328,34980,5260.06
CO,Pereira,2024-08-26 / 2024-09-01,-,-,-
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,50563,30447,5581.81
CR,Liberia,2024-09-09 / 2024-09-15,-,-,-
CR,Limon,2024-09-09 / 2024-09-15,-,-,-
CR,San Jose,2024-09-09 / 2024-09-15,8876,6109,1202.64
CR,Liberia,2024-09-02 / 2024-09-08,-,-,-
CR,Limon,2024-09-02 / 2024-09-08,-,-,-
CR,San Jose,2024-09-02 / 2024-09-08,8736,6290,1228.05
CR,Liberia,2024-08-26 / 2024-09-01,-,-,-
CR,Limon,2024-08-26 / 2024-09-01,-,-,-
CR,San Jose,2024-08-26 / 2024-09-01,9010,6254,1197.97
PE,Trujillo,2024-09-09 / 2024-09-15,-,-,-
PE,Arequipa,2024-09-09 / 2024-09-15,-,-,-
PE,Lima,2024-09-09 / 2024-09-15,55,34,5.07
PE,Trujillo,2024-09-02 / 2024-09-08,-,-,-
PE,Arequipa,2024-09-02 / 2024-09-08,-,-,-
PE,Lima,2024-09-02 / 2024-09-08,55,34,5.11
PE,Arequipa,2024-08-26 / 2024-09-01,-,-,-
PE,Trujillo,2024-08-26 / 2024-09-01,-,-,-
PE,Lima,2024-08-26 / 2024-09-01,57,35,5.20
