Country,city_name,stat_date(周),Daily GMV,GMV,R Burn,R Burn / GMV,R Burn / Order,B2C Total Burn,B2C / GMV,B2C / Order,B2C Acq Burn,B2C Eng Burn,B Burn,P2C Burn,P2C / GMV,P2C / Order,TED,TED / GMV,TED / Order
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,4454,31180.8,4368,14.01%,39.00,945,3.03%,8.44,39,906,0,1171,3.76%,10.46,6484,20.80%,57.90
MX,Las Choapas,2024-09-09 / 2024-09-15,1887,13206.3,764,5.79%,16.26,344,2.60%,7.32,27,317,0,536,4.06%,11.40,1644,12.45%,34.97
MX,Acapulco,2024-09-09 / 2024-09-15,12912,90383.3,3881,4.29%,13.48,3462,3.83%,12.02,302,3160,0,2669,2.95%,9.27,10012,11.08%,34.76
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Tehuacan,2024-09-09 / 2024-09-15,12502,87511.1,21901,25.03%,63.67,7686,8.78%,22.34,593,7093,0,3365,3.84%,9.78,32952,37.65%,95.79
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,15370,107587.1,10318,9.59%,32.04,3939,3.66%,12.23,85,3854,0,2811,2.61%,8.73,17068,15.86%,53.00
MX,Uruapan,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Zamora,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Solidaridad,2024-09-09 / 2024-09-15,18806,131639.2,13831,10.51%,34.66,4687,3.56%,11.75,163,4523,0,5561,4.22%,13.94,24079,18.29%,60.35
MX,Carmen,2024-09-09 / 2024-09-15,2076,14532.7,0,0.00%,0.00,354,2.44%,6.44,24,330,0,330,2.27%,6.01,684,4.71%,12.44
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,65961,461730.3,35441,7.68%,20.98,29861,6.47%,17.68,1283,28578,0,22216,4.81%,13.15,87518,18.95%,51.82
MX,Villahermosa,2024-09-09 / 2024-09-15,427320,2991237.9,684832,22.89%,64.72,141429,4.73%,13.37,3624,137804,3,87891,2.94%,8.31,914152,30.56%,86.40
MX,Chetumal,2024-09-09 / 2024-09-15,2506,17542.1,987,5.63%,16.45,466,2.66%,7.77,0,466,0,551,3.14%,9.19,2004,11.43%,33.40
MX,Cancun,2024-09-09 / 2024-09-15,419322,2935250.6,708111,24.12%,82.54,74522,2.54%,8.69,2391,72132,115,113629,3.87%,13.25,896262,30.53%,104.47
MX,Tapachula,2024-09-09 / 2024-09-15,4679,32756.0,0,0.00%,0.00,1098,3.35%,8.38,12,1086,0,854,2.61%,6.52,1952,5.96%,14.90
MX,Oaxaca,2024-09-09 / 2024-09-15,232056,1624394.4,366339,22.55%,58.40,64932,4.00%,10.35,2153,62779,0,36655,2.26%,5.84,467925,28.81%,74.59
MX,Cuernavaca,2024-09-09 / 2024-09-15,277707,1943950.8,536576,27.60%,81.85,61088,3.15%,9.32,1718,59371,74,45949,2.36%,7.01,643613,33.11%,98.17
MX,Tlaxcala,2024-09-09 / 2024-09-15,18407,128852.5,24964,19.37%,53.23,4351,3.38%,9.28,331,4020,0,4561,3.54%,9.72,33876,26.29%,72.23
MX,Campeche,2024-09-09 / 2024-09-15,8218,57529.4,8340,14.50%,36.74,2109,3.67%,9.29,181,1928,0,2609,4.54%,11.49,13058,22.70%,57.52
MX,Pachuca,2024-09-09 / 2024-09-15,56182,393276.0,65319,16.61%,45.74,10787,2.74%,7.55,578,10209,0,13845,3.52%,9.70,89951,22.87%,62.99
MX,Morelia,2024-09-09 / 2024-09-15,196905,1378334.2,241450,17.52%,38.50,42995,3.12%,6.86,1375,41621,0,61586,4.47%,9.82,346032,25.11%,55.18
MX,Cordoba,2024-09-09 / 2024-09-15,36432,255026.9,41356,16.22%,61.27,8639,3.39%,12.80,182,8457,0,5781,2.27%,8.57,55776,21.87%,82.63
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Xalapa,2024-09-09 / 2024-09-15,15888,111213.2,12290,11.05%,32.26,6118,5.50%,16.06,182,5936,0,4577,4.12%,12.01,22985,20.67%,60.33
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,5752,40266.8,423,1.05%,2.89,1280,3.18%,8.77,56,1224,0,1533,3.81%,10.50,3236,8.04%,22.16
MX,Veracruz,2024-09-09 / 2024-09-15,109692,767846.9,126253,16.44%,41.56,37323,4.86%,12.29,1227,36096,0,20986,2.73%,6.91,184562,24.04%,60.75
MX,Merida,2024-09-09 / 2024-09-15,215061,1505424.1,393723,26.15%,72.48,47894,3.18%,8.82,1267,46627,0,44131,2.93%,8.12,485748,32.27%,89.42
MX,Puebla,2024-09-09 / 2024-09-15,499174,3494217.5,761828,21.80%,54.91,163474,4.68%,11.78,6824,156650,0,92575,2.65%,6.67,1017877,29.13%,73.37
MX,Los Cabos,2024-09-09 / 2024-09-15,45045,315312.9,20601,6.53%,21.57,9146,2.90%,9.58,250,8896,0,14364,4.56%,15.04,44112,13.99%,46.19
MX,Colima,2024-09-09 / 2024-09-15,34311,240180.4,10603,4.41%,12.68,8099,3.37%,9.69,270,7829,0,11678,4.86%,13.97,30380,12.65%,36.34
MX,Manzanillo,2024-09-09 / 2024-09-15,36060,252419.2,18393,7.29%,21.59,13596,5.39%,15.96,446,13151,0,10138,4.02%,11.90,42127,16.69%,49.44
MX,La Paz,2024-09-09 / 2024-09-15,34754,243276.3,26300,10.81%,33.72,6685,2.75%,8.57,152,6533,0,6276,2.58%,8.05,39261,16.14%,50.34
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,30901,216308.6,7255,3.35%,9.75,6221,2.88%,8.36,644,5577,0,4491,2.08%,6.04,17967,8.31%,24.15
MX,Nogales(SON),2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Ensenada,2024-09-09 / 2024-09-15,177630,1243408.1,188821,15.19%,42.56,26145,2.10%,5.89,932,25212,0,36996,2.98%,8.34,251961,20.26%,56.79
MX,Navojoa,2024-09-09 / 2024-09-15,5344,37404.8,3803,10.17%,23.33,1521,4.07%,9.33,262,1259,0,1613,4.31%,9.90,6937,18.55%,42.56
MX,Guaymas,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Tepic,2024-09-09 / 2024-09-15,162575,1138026.3,200801,17.64%,47.95,33591,2.95%,8.02,475,33116,0,30255,2.66%,7.22,264646,23.25%,63.19
