Country Code,city_name,Stat Date(周),5 + order store count(week total)
MX,Campeche,2024-09-09 / 2024-09-15,1.0
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,2.0
MX,Chetumal,2024-09-09 / 2024-09-15,1.0
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,1.0
MX,Morelia,2024-09-09 / 2024-09-15,41.0
MX,Ensenada,2024-09-09 / 2024-09-15,35.0
MX,Leon,2024-09-09 / 2024-09-15,35.0
MX,Tampico,2024-09-09 / 2024-09-15,37.0
MX,San Luis Potosi,2024-09-09 / 2024-09-15,32.0
MX,Durango,2024-09-09 / 2024-09-15,87.0
MX,La Paz,2024-09-09 / 2024-09-15,7.0
MX,Mexicali,2024-09-09 / 2024-09-15,147.0
MX,Victoria,2024-09-09 / 2024-09-15,11.0
MX,Merida,2024-09-09 / 2024-09-15,35.0
MX,Veracruz,2024-09-09 / 2024-09-15,19.0
MX,Irapuato,2024-09-09 / 2024-09-15,7.0
MX,Mazatlan,2024-09-09 / 2024-09-15,28.0
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,12.0
MX,Zacatecas,2024-09-09 / 2024-09-15,10.0
MX,Chihuahua,2024-09-09 / 2024-09-15,153.0
MX,Salamanca,2024-09-09 / 2024-09-15,1.0
MX,Queretaro,2024-09-09 / 2024-09-15,79.0
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,4.0
MX,Villahermosa,2024-09-09 / 2024-09-15,58.0
MX,Tlaxcala,2024-09-09 / 2024-09-15,5.0
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,14.0
MX,Cordoba,2024-09-09 / 2024-09-15,9.0
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,3.0
MX,Mexico City,2024-09-09 / 2024-09-15,666.0
MX,Navojoa,2024-09-09 / 2024-09-15,1.0
MX,Cancun,2024-09-09 / 2024-09-15,60.0
MX,Culiacan,2024-09-09 / 2024-09-15,94.0
MX,Monterrey,2024-09-09 / 2024-09-15,340.0
MX,Torreon,2024-09-09 / 2024-09-15,54.0
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,4.0
MX,Tapachula,2024-09-09 / 2024-09-15,1.0
MX,San Juan del Río,2024-09-09 / 2024-09-15,9.0
MX,Oaxaca,2024-09-09 / 2024-09-15,52.0
MX,Carmen,2024-09-09 / 2024-09-15,1.0
MX,Puebla,2024-09-09 / 2024-09-15,108.0
