Country,city_name,stat_date(周),Traffic,Shop Enter UV,B P1,B P2,B P1*P2,B Cancel Rate,B Bad Rating Rate
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,12999,853,6.56%,15.71%,1.03%,11.02%,0.89%
MX,Las Choapas,2024-09-09 / 2024-09-15,7371,402,5.45%,12.19%,0.66%,0.00%,0.00%
MX,Acapulco,2024-09-09 / 2024-09-15,52800,2947,5.58%,11.03%,0.62%,3.21%,2.43%
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
MX,Tehuacan,2024-09-09 / 2024-09-15,19380,1415,7.30%,25.87%,1.89%,0.83%,0.29%
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,32265,2510,7.78%,13.75%,1.07%,1.22%,3.11%
MX,Uruapan,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
MX,Zamora,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
MX,Solidaridad,2024-09-09 / 2024-09-15,33026,2256,6.83%,18.48%,1.26%,1.70%,3.26%
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,213235,11576,5.43%,15.45%,0.84%,0.69%,0.83%
MX,Villahermosa,2024-09-09 / 2024-09-15,813356,54936,6.75%,19.87%,1.34%,0.72%,1.12%
MX,Chetumal,2024-09-09 / 2024-09-15,6859,577,8.41%,11.44%,0.96%,6.25%,0.00%
MX,Carmen,2024-09-09 / 2024-09-15,10541,541,5.13%,10.72%,0.55%,0.00%,0.00%
MX,Cancun,2024-09-09 / 2024-09-15,616788,42774,6.93%,20.92%,1.45%,0.85%,1.46%
MX,Tapachula,2024-09-09 / 2024-09-15,13411,756,5.64%,18.12%,1.02%,0.00%,1.53%
MX,Oaxaca,2024-09-09 / 2024-09-15,371026,25907,6.98%,24.85%,1.74%,0.49%,1.16%
MX,Cuernavaca,2024-09-09 / 2024-09-15,512342,34680,6.77%,19.79%,1.34%,0.83%,1.43%
MX,Campeche,2024-09-09 / 2024-09-15,35350,1703,4.82%,14.15%,0.68%,1.28%,0.44%
MX,Tlaxcala,2024-09-09 / 2024-09-15,40778,2671,6.55%,18.98%,1.24%,1.63%,2.35%
MX,Morelia,2024-09-09 / 2024-09-15,432189,29522,6.83%,22.17%,1.51%,0.72%,1.77%
MX,Pachuca,2024-09-09 / 2024-09-15,124837,8068,6.46%,19.11%,1.24%,1.12%,1.89%
MX,Xalapa,2024-09-09 / 2024-09-15,68222,3447,5.05%,12.30%,0.62%,2.97%,2.62%
MX,Cordoba,2024-09-09 / 2024-09-15,63504,4639,7.31%,15.26%,1.11%,0.59%,0.59%
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,20948,943,4.50%,16.76%,0.75%,0.67%,1.37%
MX,Veracruz,2024-09-09 / 2024-09-15,239500,16114,6.73%,19.62%,1.32%,1.16%,1.55%
MX,Merida,2024-09-09 / 2024-09-15,501587,35216,7.02%,16.50%,1.16%,1.07%,1.44%
MX,Puebla,2024-09-09 / 2024-09-15,1211748,79621,6.57%,18.76%,1.23%,1.54%,1.82%
MX,Los Cabos,2024-09-09 / 2024-09-15,86114,5638,6.55%,19.00%,1.24%,1.04%,2.30%
MX,Manzanillo,2024-09-09 / 2024-09-15,40610,3482,8.57%,27.23%,2.33%,0.86%,0.94%
MX,Colima,2024-09-09 / 2024-09-15,96998,6009,6.19%,14.54%,0.90%,0.59%,1.08%
MX,La Paz,2024-09-09 / 2024-09-15,73146,4437,6.07%,18.44%,1.12%,0.75%,1.15%
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,49146,3649,7.42%,22.33%,1.66%,0.90%,0.94%
