Country,city_name,Date(周),AOP,ASP,Avg Delivery Fee
MX,Carmen,2024-09-09 / 2024-09-15,240,183,26.38
MX,Las Choapas,2024-09-09 / 2024-09-15,282,187,29.64
MX,Cordoba,2024-09-09 / 2024-09-15,239,190,27.68
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,-,-,-
MX,Uruapan,2024-09-09 / 2024-09-15,-,-,-
MX,Abejones,2024-09-09 / 2024-09-15,-,-,-
MX,Tulancingo,2024-09-09 / 2024-09-15,-,-,-
MX,Orizaba,2024-09-09 / 2024-09-15,-,-,-
MX,Zamora,2024-09-09 / 2024-09-15,-,-,-
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,-,-,-
MX,La Piedad,2024-09-09 / 2024-09-15,-,-,-
MX,Minatitlan,2024-09-09 / 2024-09-15,-,-,-
MX,Apizaco,2024-09-09 / 2024-09-15,-,-,-
MX,Xalapa,2024-09-09 / 2024-09-15,247,186,30.23
MX,Chetumal,2024-09-09 / 2024-09-15,218,181,29.64
MX,Morelia,2024-09-09 / 2024-09-15,220,167,31.55
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,230,181,27.58
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,235,176,30.55
MX,Cuernavaca,2024-09-09 / 2024-09-15,227,175,19.37
MX,Puebla,2024-09-09 / 2024-09-15,236,164,22.86
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,247,199,29.69
MX,Campeche,2024-09-09 / 2024-09-15,225,174,30.02
MX,Pachuca,2024-09-09 / 2024-09-15,234,181,28.73
MX,Acapulco,2024-09-09 / 2024-09-15,268,219,30.32
MX,Tapachula,2024-09-09 / 2024-09-15,264,211,28.47
MX,Oaxaca,2024-09-09 / 2024-09-15,262,195,21.83
MX,Solidaridad,2024-09-09 / 2024-09-15,299,241,37.84
MX,Veracruz,2024-09-09 / 2024-09-15,228,181,23.72
MX,Merida,2024-09-09 / 2024-09-15,234,181,25.65
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,302,214,27.79
MX,Tlaxcala,2024-09-09 / 2024-09-15,258,195,28.84
MX,Cancun,2024-09-09 / 2024-09-15,276,215,35.86
MX,Villahermosa,2024-09-09 / 2024-09-15,253,198,27.81
MX,Tehuacan,2024-09-09 / 2024-09-15,236,182,23.24
MX,Navojoa,2024-09-09 / 2024-09-15,226,176,29.22
MX,Guaymas,2024-09-09 / 2024-09-15,-,-,-
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,237,190,32.92
MX,Mazatlan,2024-09-09 / 2024-09-15,260,216,29.97
MX,Guadalajara,2024-09-09 / 2024-09-15,233,171,26.42
MX,Mexicali,2024-09-09 / 2024-09-15,273,214,33.74
MX,Tijuana,2024-09-09 / 2024-09-15,274,220,35.92
MX,La Paz,2024-09-09 / 2024-09-15,277,230,28.83
MX,Colima,2024-09-09 / 2024-09-15,234,178,36.49
MX,Ensenada,2024-09-09 / 2024-09-15,259,212,32.80
MX,Los Cabos,2024-09-09 / 2024-09-15,323,262,44.60
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,282,217,27.89
MX,Hermosillo,2024-09-09 / 2024-09-15,264,196,20.96
MX,Manzanillo,2024-09-09 / 2024-09-15,288,242,37.22
MX,Tepic,2024-09-09 / 2024-09-15,240,182,24.84
MX,Ciudad Obregon,2024-09-09 / 2024-09-15,247,183,31.20
MX,Nogales(SON),2024-09-09 / 2024-09-15,-,-,-
MX,Culiacan,2024-09-09 / 2024-09-15,291,216,38.42
MX,San Miguel de Allende,2024-09-09 / 2024-09-15,-,-,-
MX,Valles City,2024-09-09 / 2024-09-15,-,-,-
MX,Guanajuato,2024-09-09 / 2024-09-15,-,-,-
MX,Piedras Negras,2024-09-09 / 2024-09-15,-,-,-
MX,Saltillo,2024-09-09 / 2024-09-15,266,218,32.63
MX,Delicias,2024-09-09 / 2024-09-15,250,215,34.13
MX,Salamanca,2024-09-09 / 2024-09-15,232,184,19.91
MX,Aguascalientes,2024-09-09 / 2024-09-15,224,179,30.61
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,293,244,36.44
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,283,229,41.46
MX,Leon,2024-09-09 / 2024-09-15,235,173,32.46
MX,Durango,2024-09-09 / 2024-09-15,226,184,23.20
MX,Queretaro,2024-09-09 / 2024-09-15,239,181,34.82
MX,Zacatecas,2024-09-09 / 2024-09-15,236,193,25.95
MX,San Juan del Río,2024-09-09 / 2024-09-15,259,192,33.45
MX,Torreon,2024-09-09 / 2024-09-15,231,185,34.93
MX,Tampico,2024-09-09 / 2024-09-15,255,173,30.56
MX,Celaya,2024-09-09 / 2024-09-15,232,190,26.49
MX,San Luis Potosi,2024-09-09 / 2024-09-15,220,181,27.96
MX,Victoria,2024-09-09 / 2024-09-15,273,202,36.79
MX,Matamoros,2024-09-09 / 2024-09-15,239,198,24.91
MX,Chihuahua,2024-09-09 / 2024-09-15,264,211,37.42
MX,Monclova,2024-09-09 / 2024-09-15,-,-,-
MX,Irapuato,2024-09-09 / 2024-09-15,235,195,27.20
MX,Reynosa,2024-09-09 / 2024-09-15,-,-,-
MX,Monterrey,2024-09-09 / 2024-09-15,266,203,35.27
MX,Mexico City,2024-09-09 / 2024-09-15,249,188,29.56
MX,Toluca,2024-09-09 / 2024-09-15,239,184,24.99
CO,Valledupar,2024-09-09 / 2024-09-15,-,-,-
CO,Ibagué,2024-09-09 / 2024-09-15,-,-,-
CO,Santa marta,2024-09-09 / 2024-09-15,-,-,-
CO,Bucaramanga,2024-09-09 / 2024-09-15,37850,21984,4894.08
CO,Cartagena,2024-09-09 / 2024-09-15,37478,23259,5761.42
CO,Cúcuta,2024-09-09 / 2024-09-15,36988,20956,4537.50
CO,Barranquilla,2024-09-09 / 2024-09-15,41941,23098,5023.90
CO,Cali,2024-09-09 / 2024-09-15,41511,24716,5231.30
CO,Villavicencio,2024-09-09 / 2024-09-15,-,-,-
CO,Manizales,2024-09-09 / 2024-09-15,-,-,-
CO,Pereira,2024-09-09 / 2024-09-15,-,-,-
CO,Medellín,2024-09-09 / 2024-09-15,45566,27407,5806.05
CO,"Bogotá, D.C.",2024-09-09 / 2024-09-15,47366,27906,5883.75
CR,Limon,2024-09-09 / 2024-09-15,-,-,-
CR,Liberia,2024-09-09 / 2024-09-15,-,-,-
CR,San Jose,2024-09-09 / 2024-09-15,8357,6127,1192.57
PE,Arequipa,2024-09-09 / 2024-09-15,-,-,-
PE,Trujillo,2024-09-09 / 2024-09-15,-,-,-
PE,Lima,2024-09-09 / 2024-09-15,41,25,4.43
MX,Carmen,2024-09-02 / 2024-09-08,243,185,26.68
MX,Las Choapas,2024-09-02 / 2024-09-08,285,185,31.03
