Country,city_name,stat_date(周),R Burn / GMV,B2C / GMV,P2C / GMV,TED / GMV
MX,Cordoba,2024-09-09 / 2024-09-15,12.26%,3.30%,4.57%,20.13%
MX,Las Choapas,2024-09-09 / 2024-09-15,23.46%,6.94%,3.35%,33.75%
MX,Carmen,2024-09-09 / 2024-09-15,15.07%,4.67%,4.20%,23.94%
MX,Zamora,2024-09-09 / 2024-09-15,-,-,-,-
MX,Uruapan,2024-09-09 / 2024-09-15,-,-,-,-
MX,Abejones,2024-09-09 / 2024-09-15,-,-,-,-
MX,Tulancingo,2024-09-09 / 2024-09-15,-,-,-,-
MX,Orizaba,2024-09-09 / 2024-09-15,-,-,-,-
MX,Apizaco,2024-09-09 / 2024-09-15,-,-,-,-
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,-,-,-,-
MX,Minatitlan,2024-09-09 / 2024-09-15,-,-,-,-
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,-,-,-,-
MX,La Piedad,2024-09-09 / 2024-09-15,-,-,-,-
MX,Puebla,2024-09-09 / 2024-09-15,22.88%,5.21%,2.68%,30.77%
MX,Villahermosa,2024-09-09 / 2024-09-15,15.77%,2.59%,3.62%,21.98%
MX,Xalapa,2024-09-09 / 2024-09-15,16.70%,3.34%,4.71%,24.71%
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,16.93%,2.81%,5.49%,25.22%
MX,Cuernavaca,2024-09-09 / 2024-09-15,16.51%,3.28%,3.04%,22.82%
MX,Merida,2024-09-09 / 2024-09-15,16.29%,2.44%,3.70%,22.43%
MX,Tlaxcala,2024-09-09 / 2024-09-15,17.17%,3.45%,3.72%,24.34%
MX,Morelia,2024-09-09 / 2024-09-15,16.05%,3.06%,5.17%,24.28%
MX,Acapulco,2024-09-09 / 2024-09-15,12.86%,1.45%,4.09%,18.40%
MX,Chetumal,2024-09-09 / 2024-09-15,10.74%,1.40%,5.01%,17.15%
MX,Veracruz,2024-09-09 / 2024-09-15,14.30%,3.35%,2.93%,20.58%
MX,Tehuacan,2024-09-09 / 2024-09-15,17.97%,1.55%,3.20%,22.72%
MX,Pachuca,2024-09-09 / 2024-09-15,15.26%,2.98%,4.46%,22.70%
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,14.49%,2.16%,4.62%,21.28%
MX,Campeche,2024-09-09 / 2024-09-15,13.47%,3.86%,5.12%,22.44%
MX,Tapachula,2024-09-09 / 2024-09-15,14.32%,2.07%,3.90%,20.29%
MX,Solidaridad,2024-09-09 / 2024-09-15,11.94%,1.71%,5.55%,19.20%
MX,Oaxaca,2024-09-09 / 2024-09-15,20.10%,3.09%,2.37%,25.56%
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,11.69%,2.96%,4.81%,19.46%
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,19.93%,6.31%,3.02%,29.26%
MX,Cancun,2024-09-09 / 2024-09-15,13.01%,3.66%,5.29%,21.96%
MX,Navojoa,2024-09-09 / 2024-09-15,12.86%,5.23%,4.07%,22.16%
MX,Guaymas,2024-09-09 / 2024-09-15,-,-,-,-
MX,Manzanillo,2024-09-09 / 2024-09-15,10.44%,1.09%,4.40%,15.94%
MX,Colima,2024-09-09 / 2024-09-15,14.01%,3.28%,6.83%,24.12%
MX,Nogales(SON),2024-09-09 / 2024-09-15,-,-,-,-
MX,La Paz,2024-09-09 / 2024-09-15,10.98%,2.39%,3.48%,16.85%
MX,Guadalajara,2024-09-09 / 2024-09-15,18.79%,3.58%,4.14%,26.51%
MX,Tijuana,2024-09-09 / 2024-09-15,13.64%,1.82%,4.09%,19.55%
MX,Hermosillo,2024-09-09 / 2024-09-15,19.80%,4.09%,1.82%,25.72%
MX,Tepic,2024-09-09 / 2024-09-15,17.92%,2.88%,3.17%,23.97%
MX,Los Cabos,2024-09-09 / 2024-09-15,12.15%,1.32%,5.47%,18.94%
MX,Mexicali,2024-09-09 / 2024-09-15,14.99%,2.46%,4.28%,21.73%
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,12.28%,2.65%,5.00%,19.93%
MX,Ciudad Obregon,2024-09-09 / 2024-09-15,18.81%,2.86%,4.37%,26.04%
MX,Mazatlan,2024-09-09 / 2024-09-15,11.57%,1.89%,3.37%,16.83%
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,16.90%,3.19%,2.97%,23.06%
MX,Ensenada,2024-09-09 / 2024-09-15,12.85%,2.01%,3.35%,18.21%
MX,Culiacan,2024-09-09 / 2024-09-15,16.89%,3.53%,5.54%,25.96%
MX,San Miguel de Allende,2024-09-09 / 2024-09-15,-,-,-,-
MX,Guanajuato,2024-09-09 / 2024-09-15,-,-,-,-
MX,Valles City,2024-09-09 / 2024-09-15,-,-,-,-
MX,Piedras Negras,2024-09-09 / 2024-09-15,-,-,-,-
MX,Chihuahua,2024-09-09 / 2024-09-15,13.87%,1.43%,4.90%,20.20%
MX,Aguascalientes,2024-09-09 / 2024-09-15,13.73%,2.03%,3.99%,19.74%
MX,Delicias,2024-09-09 / 2024-09-15,9.11%,0.95%,4.19%,14.25%
MX,Salamanca,2024-09-09 / 2024-09-15,15.16%,3.30%,2.24%,20.70%
MX,San Juan del Río,2024-09-09 / 2024-09-15,17.97%,3.29%,4.42%,25.69%
MX,Leon,2024-09-09 / 2024-09-15,19.00%,3.14%,4.59%,26.73%
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,11.40%,0.74%,4.45%,16.59%
