Country,city_name,stat_date(周),Daily Orders
MX,Carmen,2024-09-09 / 2024-09-15,225
MX,Cordoba,2024-09-09 / 2024-09-15,500
MX,Las Choapas,2024-09-09 / 2024-09-15,92
MX,Uruapan,2024-09-09 / 2024-09-15,0
MX,Apizaco,2024-09-09 / 2024-09-15,-
MX,La Piedad,2024-09-09 / 2024-09-15,-
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,-
MX,Abejones,2024-09-09 / 2024-09-15,-
MX,Zamora,2024-09-09 / 2024-09-15,-
MX,Tulancingo,2024-09-09 / 2024-09-15,-
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,0
MX,Orizaba,2024-09-09 / 2024-09-15,0
MX,Minatitlan,2024-09-09 / 2024-09-15,-
MX,Pachuca,2024-09-09 / 2024-09-15,435
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,230
MX,Cancun,2024-09-09 / 2024-09-15,1922
MX,Tapachula,2024-09-09 / 2024-09-15,213
MX,Puebla,2024-09-09 / 2024-09-15,3172
MX,Villahermosa,2024-09-09 / 2024-09-15,1541
MX,Tlaxcala,2024-09-09 / 2024-09-15,399
MX,Campeche,2024-09-09 / 2024-09-15,474
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,231
MX,Veracruz,2024-09-09 / 2024-09-15,1100
MX,Merida,2024-09-09 / 2024-09-15,1309
MX,Cuernavaca,2024-09-09 / 2024-09-15,1788
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,148
MX,Oaxaca,2024-09-09 / 2024-09-15,1436
MX,Tehuacan,2024-09-09 / 2024-09-15,222
MX,Acapulco,2024-09-09 / 2024-09-15,304
MX,Solidaridad,2024-09-09 / 2024-09-15,214
MX,Xalapa,2024-09-09 / 2024-09-15,311
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,2034
MX,Chetumal,2024-09-09 / 2024-09-15,239
MX,Morelia,2024-09-09 / 2024-09-15,2115
MX,Navojoa,2024-09-09 / 2024-09-15,281
MX,Guaymas,2024-09-09 / 2024-09-15,0
MX,Hermosillo,2024-09-09 / 2024-09-15,1679
MX,Tijuana,2024-09-09 / 2024-09-15,3328
MX,Nogales(SON),2024-09-09 / 2024-09-15,0
MX,Guadalajara,2024-09-09 / 2024-09-15,12622
MX,Colima,2024-09-09 / 2024-09-15,1175
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,747
MX,Mazatlan,2024-09-09 / 2024-09-15,935
MX,La Paz,2024-09-09 / 2024-09-15,954
MX,Ciudad Obregon,2024-09-09 / 2024-09-15,1039
MX,Ensenada,2024-09-09 / 2024-09-15,2413
MX,Los Cabos,2024-09-09 / 2024-09-15,592
MX,Tepic,2024-09-09 / 2024-09-15,1646
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,729
MX,Manzanillo,2024-09-09 / 2024-09-15,461
MX,Mexicali,2024-09-09 / 2024-09-15,4445
MX,Culiacan,2024-09-09 / 2024-09-15,1167
MX,San Miguel de Allende,2024-09-09 / 2024-09-15,0
MX,Guanajuato,2024-09-09 / 2024-09-15,-
MX,Valles City,2024-09-09 / 2024-09-15,-
MX,Piedras Negras,2024-09-09 / 2024-09-15,-
MX,Delicias,2024-09-09 / 2024-09-15,418
MX,Torreon,2024-09-09 / 2024-09-15,1739
MX,Queretaro,2024-09-09 / 2024-09-15,1952
MX,Salamanca,2024-09-09 / 2024-09-15,149
MX,Matamoros,2024-09-09 / 2024-09-15,1155
MX,San Juan del Río,2024-09-09 / 2024-09-15,388
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,3787
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,585
MX,Chihuahua,2024-09-09 / 2024-09-15,1512
MX,Leon,2024-09-09 / 2024-09-15,1728
MX,Monclova,2024-09-09 / 2024-09-15,0
MX,Saltillo,2024-09-09 / 2024-09-15,880
MX,Aguascalientes,2024-09-09 / 2024-09-15,1449
MX,Zacatecas,2024-09-09 / 2024-09-15,611
MX,Durango,2024-09-09 / 2024-09-15,2503
MX,Tampico,2024-09-09 / 2024-09-15,1439
MX,Celaya,2024-09-09 / 2024-09-15,681
MX,Irapuato,2024-09-09 / 2024-09-15,491
MX,Victoria,2024-09-09 / 2024-09-15,791
MX,San Luis Potosi,2024-09-09 / 2024-09-15,1826
MX,Reynosa,2024-09-09 / 2024-09-15,0
MX,Monterrey,2024-09-09 / 2024-09-15,9649
MX,Mexico City,2024-09-09 / 2024-09-15,19154
MX,Toluca,2024-09-09 / 2024-09-15,1735
CO,Santa marta,2024-09-09 / 2024-09-15,0
