Country,city_name,stat_date(周),Daily Traffic,Daily Traffic WoW,Traffic,Traffic WoW,Exposure UV per Eff Online Rs,Shop Enter UV,Shop Enter UV WoW,B P1,B P1 WoW,B P2,B P2 WoW,B P1*P2,B P1*P2 WoW,B Cancel Rate,B Cancel Rate WoW,B Bad Rating Rate,B Bad Rating Rate WoW,Average Rating,Average Position
MX,Carmen,2024-09-09 / 2024-09-15,23122,-0.47%,161853,-0.47%,568,9833,-3.95%,6.08%,-0.22PP,17.18%,1.08PP,1.04%,0.03PP,3.56%,0.50PP,1.08%,0.05PP,4.57,10.2
MX,Las Choapas,2024-09-09 / 2024-09-15,10626,-0.37%,74384,-0.37%,406,4237,-2.71%,5.70%,-0.14PP,15.91%,0.61PP,0.91%,0.01PP,1.20%,-0.67PP,1.09%,-0.08PP,4.52,10.1
MX,Cordoba,2024-09-09 / 2024-09-15,48311,-0.17%,338177,-0.17%,370,22556,-0.09%,6.67%,0.01PP,16.25%,0.97PP,1.08%,0.07PP,1.61%,-0.44PP,1.34%,-0.11PP,4.51,17.4
MX,Orizaba,2024-09-09 / 2024-09-15,0,-100.00%,0,-100.00%,-,0,-100.00%,-,-100.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,La Piedad,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Zamora,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Apizaco,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Uruapan,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Tulancingo,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Minatitlan,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Abejones,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Villahermosa,2024-09-09 / 2024-09-15,192479,2.17%,1347355,2.17%,550,79754,-1.11%,5.92%,-0.20PP,14.26%,0.36PP,0.84%,-0.01PP,2.41%,0.62PP,1.23%,-0.09PP,4.38,38.9
MX,Cuernavaca,2024-09-09 / 2024-09-15,181775,5.15%,1272427,5.15%,420,78893,2.35%,6.20%,-0.17PP,16.89%,0.22PP,1.05%,-0.01PP,1.93%,0.02PP,1.62%,-0.20PP,4.45,22.9
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,30307,-8.15%,212151,-8.15%,444,12773,-1.79%,6.02%,0.39PP,13.43%,1.82PP,0.81%,0.15PP,2.60%,-0.46PP,1.79%,0.67PP,4.37,15.5
MX,Pachuca,2024-09-09 / 2024-09-15,53876,3.65%,377129,3.65%,218,21476,-3.47%,5.69%,-0.42PP,15.56%,-0.30PP,0.89%,-0.08PP,2.00%,-0.34PP,1.94%,-0.08PP,4.38,21.5
MX,Acapulco,2024-09-09 / 2024-09-15,38467,17.42%,269270,17.42%,580,17194,7.57%,6.39%,-0.58PP,13.40%,-0.08PP,0.86%,-0.08PP,1.66%,-0.18PP,1.32%,-0.20PP,4.47,10.7
MX,Merida,2024-09-09 / 2024-09-15,172393,3.64%,1206748,3.64%,415,69433,0.27%,5.75%,-0.19PP,14.39%,0.73PP,0.83%,0.02PP,2.27%,-0.24PP,1.67%,0.00PP,4.40,20.8
MX,Cancun,2024-09-09 / 2024-09-15,219059,2.57%,1533413,2.57%,606,85408,1.72%,5.57%,-0.05PP,16.55%,1.05PP,0.92%,0.05PP,1.53%,0.03PP,1.61%,-0.06PP,4.41,33.4
MX,Oaxaca,2024-09-09 / 2024-09-15,135892,-1.90%,951247,-1.90%,346,62316,-2.02%,6.55%,-0.01PP,16.90%,0.46PP,1.11%,0.03PP,1.82%,-0.21PP,1.50%,0.26PP,4.29,32.3
MX,Campeche,2024-09-09 / 2024-09-15,47778,3.49%,334444,3.49%,407,22604,3.79%,6.76%,0.02PP,15.32%,0.23PP,1.04%,0.02PP,2.62%,0.84PP,1.09%,-0.04PP,4.59,18.1
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,17842,-5.17%,124895,-5.17%,365,7553,-9.77%,6.05%,-0.31PP,14.96%,2.37PP,0.90%,0.10PP,3.03%,0.24PP,0.48%,-0.48PP,4.71,11.2
MX,Chetumal,2024-09-09 / 2024-09-15,24706,6.97%,172941,6.97%,586,10533,0.67%,6.09%,-0.38PP,16.86%,0.15PP,1.03%,-0.05PP,3.08%,0.17PP,1.31%,-0.09PP,4.41,11.8
MX,Xalapa,2024-09-09 / 2024-09-15,41356,-5.55%,289492,-5.55%,272,17679,-5.88%,6.11%,-0.02PP,13.42%,0.82PP,0.82%,0.05PP,2.46%,0.11PP,2.52%,0.75PP,4.24,23.5
MX,Tehuacan,2024-09-09 / 2024-09-15,29033,-6.78%,203234,-6.78%,302,11468,-2.40%,5.64%,0.25PP,14.75%,-0.55PP,0.83%,0.01PP,2.98%,0.86PP,1.48%,0.23PP,4.47,20.9
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,24594,-0.60%,172158,-0.60%,379,9978,-2.75%,5.80%,-0.13PP,16.91%,1.20PP,0.98%,0.05PP,1.45%,-0.61PP,0.99%,-0.30PP,4.55,18.8
MX,Morelia,2024-09-09 / 2024-09-15,186081,-0.22%,1302567,-0.22%,394,87596,-2.67%,6.72%,-0.17PP,17.71%,0.08PP,1.19%,-0.02PP,1.25%,-0.10PP,1.56%,-0.06PP,4.39,38.2
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,225942,-2.20%,1581597,-2.20%,851,95261,-3.32%,6.02%,-0.07PP,15.72%,0.98PP,0.95%,0.05PP,1.14%,-0.17PP,1.45%,-0.03PP,4.41,26.2
MX,Tapachula,2024-09-09 / 2024-09-15,27592,6.70%,193141,6.70%,471,10913,0.73%,5.65%,-0.33PP,14.71%,0.65PP,0.83%,-0.01PP,2.74%,1.24PP,1.81%,0.47PP,4.17,15.3
MX,Solidaridad,2024-09-09 / 2024-09-15,27399,2.86%,191795,2.86%,313,10444,-2.33%,5.45%,-0.29PP,15.43%,0.21PP,0.84%,-0.03PP,2.43%,0.28PP,2.33%,0.45PP,4.39,19.7
MX,Veracruz,2024-09-09 / 2024-09-15,120885,1.60%,846196,1.60%,351,51665,-0.45%,6.11%,-0.13PP,15.69%,0.53PP,0.96%,0.01PP,1.78%,-0.13PP,1.60%,-0.08PP,4.49,27.2
MX,Puebla,2024-09-09 / 2024-09-15,341790,-1.94%,2392528,-1.94%,360,146360,-5.47%,6.12%,-0.23PP,16.41%,0.51PP,1.00%,-0.00PP,1.87%,0.28PP,1.91%,0.06PP,4.34,35.3
MX,Tlaxcala,2024-09-09 / 2024-09-15,45398,1.89%,317787,1.89%,327,19365,-3.27%,6.09%,-0.32PP,15.66%,0.32PP,0.95%,-0.03PP,2.38%,0.33PP,1.79%,0.15PP,4.38,20.5
MX,Navojoa,2024-09-09 / 2024-09-15,28771,0.28%,201395,0.28%,520,14070,-2.03%,6.99%,-0.17PP,14.95%,0.25PP,1.04%,-0.01PP,1.22%,-0.51PP,1.32%,0.40PP,4.40,15.5
MX,Guaymas,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,63052,8.79%,441362,8.79%,308,29908,3.16%,6.78%,-0.37PP,18.79%,0.06PP,1.27%,-0.07PP,2.01%,0.31PP,1.47%,-0.32PP,4.39,16.8
