Country Code,city_name,Stat Date(周),5 + order store count(week total)
MX,Saltillo,2024-09-09 / 2024-09-15,64.0
MX,Campeche,2024-09-09 / 2024-09-15,22.0
MX,Torreon,2024-09-09 / 2024-09-15,109.0
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,239.0
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,11.0
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,36.0
MX,Tampico,2024-09-09 / 2024-09-15,81.0
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,96.0
MX,Los Cabos,2024-09-09 / 2024-09-15,33.0
MX,Merida,2024-09-09 / 2024-09-15,76.0
MX,Guadalajara,2024-09-09 / 2024-09-15,725.0
MX,Tapachula,2024-09-09 / 2024-09-15,14.0
MX,La Paz,2024-09-09 / 2024-09-15,68.0
MX,Puebla,2024-09-09 / 2024-09-15,181.0
MX,Durango,2024-09-09 / 2024-09-15,163.0
MX,Mexico City,2024-09-09 / 2024-09-15,1085.0
MX,Cancun,2024-09-09 / 2024-09-15,116.0
MX,Monterrey,2024-09-09 / 2024-09-15,592.0
MX,Leon,2024-09-09 / 2024-09-15,102.0
MX,San Juan del Río,2024-09-09 / 2024-09-15,28.0
MX,Pachuca,2024-09-09 / 2024-09-15,20.0
MX,Ensenada,2024-09-09 / 2024-09-15,139.0
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,13.0
MX,Navojoa,2024-09-09 / 2024-09-15,19.0
MX,Tijuana,2024-09-09 / 2024-09-15,201.0
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,49.0
MX,Solidaridad,2024-09-09 / 2024-09-15,12.0
MX,Culiacan,2024-09-09 / 2024-09-15,61.0
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,43.0
MX,Cuernavaca,2024-09-09 / 2024-09-15,102.0
MX,Veracruz,2024-09-09 / 2024-09-15,64.0
MX,Chihuahua,2024-09-09 / 2024-09-15,93.0
MX,Matamoros,2024-09-09 / 2024-09-15,72.0
MX,Morelia,2024-09-09 / 2024-09-15,114.0
MX,Tepic,2024-09-09 / 2024-09-15,109.0
MX,Cordoba,2024-09-09 / 2024-09-15,29.0
MX,Celaya,2024-09-09 / 2024-09-15,41.0
MX,Acapulco,2024-09-09 / 2024-09-15,24.0
MX,San Luis Potosi,2024-09-09 / 2024-09-15,116.0
MX,Xalapa,2024-09-09 / 2024-09-15,13.0
MX,Aguascalientes,2024-09-09 / 2024-09-15,87.0
MX,Irapuato,2024-09-09 / 2024-09-15,29.0
MX,Ciudad Obregon,2024-09-09 / 2024-09-15,71.0
MX,Zacatecas,2024-09-09 / 2024-09-15,35.0
MX,Chetumal,2024-09-09 / 2024-09-15,16.0
MX,Carmen,2024-09-09 / 2024-09-15,16.0
MX,Salamanca,2024-09-09 / 2024-09-15,7.0
MX,Villahermosa,2024-09-09 / 2024-09-15,92.0
MX,Hermosillo,2024-09-09 / 2024-09-15,107.0
MX,Tehuacan,2024-09-09 / 2024-09-15,11.0
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,12.0
MX,Queretaro,2024-09-09 / 2024-09-15,119.0
MX,Colima,2024-09-09 / 2024-09-15,67.0
MX,Mazatlan,2024-09-09 / 2024-09-15,63.0
MX,Las Choapas,2024-09-09 / 2024-09-15,6.0
MX,Victoria,2024-09-09 / 2024-09-15,48.0
MX,Mexicali,2024-09-09 / 2024-09-15,224.0
MX,Tlaxcala,2024-09-09 / 2024-09-15,24.0
MX,Manzanillo,2024-09-09 / 2024-09-15,31.0
MX,Delicias,2024-09-09 / 2024-09-15,28.0
MX,Oaxaca,2024-09-09 / 2024-09-15,90.0
MX,Toluca,2024-09-09 / 2024-09-15,98.0
