country_code, organization_type, city_id, city_name, daily_orders, daily_gmv, orders_cdmx, orders_gdl, orders_mty, orders_bog, orders_med, fo_2024, new_rs_daily_orders, rburn_gmv, b2c_gmv,p2c_gmv,ted_gmv,rburn_per_order,b2c_per_order,p2c_per_order,ted_per_order,traffic,shop_enter_uv,click_pay_uv,b_p1,b_p2,b_p1p2,b_cancel_order_rate,b_bad_rating_order_rate,imperfect_order_rate,overdue_order_rate,rs_five_plus
MX,Normal,52190500,Monterrey,35,9928.107142857145,2655370.9085714285705,0.0,0.0,9928.107142857145,0.0,0.0,25,1008.6785714285711,0.16851,0.026265,0.051618,0.246393,45.069807,7.024829,13.805803,65.900439,7168938,458351,74288,0.0639356903351654,0.16207666177230987,0.010362483257631745,0.019180844012372956,0.01310866812478416,0.014288592149188442,0.14087307304422994,588
MX,CKA,52260300,Navojoa,37,22.666666666666668,4865.6783333333334,0.0,0.0,0.0,0.0,0.0,null,null,0.085559,0.033516,0.046675,0.165751,18.366397,7.194632,10.019412,35.580441,13516,988,153,0.0730985498668245,0.1548582995951417,0.011319917135247114,0.05405405405405406,0.014705882352941176,0.007352941176470588,0.22058823529411764,0
MX,CKA,52320100,Zacatecas,36,174.57142857142858,39611.0542857142856,0.0,0.0,0.0,0.0,0.0,0,16.857142857142858,0.088735,0.025096,0.028186,0.142017,20.134419,5.694411,6.395434,32.224264,88082,6326,1317,0.07181944097545469,0.2081884287069238,0.014951976567289572,0.007739938080495356,0.019639934533551555,0.02536824877250409,0.16366612111292964,10
MX,Normal,52320100,Zacatecas,37,587.6666666666667,134282.9583333333332,0.0,0.0,0.0,0.0,0.0,4,41.33333333333333,0.126549,0.022348,0.031194,0.180091,28.916659,5.106574,7.127836,41.151069,354120,21444,3824,0.06055574381565571,0.1783249393769819,0.010798599344854852,0.02093959731543624,0.016732841747022123,0.017016449234259785,0.1279432624113475,25
CR,Normal,506050100,Limon,35,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,CKA,52030300,Los Cabos,36,177.71428571428572,57760.0714285714287,0.0,0.0,0.0,0.0,0.0,0,5.571428571428571,0.056325,0.028896,0.046366,0.131587,18.306584,9.391576,15.069823,42.767982,86960,6217,1300,0.07149264029438822,0.20910406948689078,0.014949402023919043,0.009411764705882352,0.021704180064308683,0.017684887459807074,0.06752411575562701,12
MX,CKA,52160900,Zamora,37,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,Normal,52280400,Victoria,36,760.7142857142856,205358.7399999999999,0.0,0.0,0.0,0.0,0.0,1,111.57142857142858,0.167255,0.041265,0.047651,0.256171,45.15145,11.139623,12.863666,69.154738,661103,42923,5792,0.06492634279378554,0.13493930992707873,0.008761115892682381,0.016808209483368718,0.013521126760563381,0.014647887323943662,0.12241444151936819,47
MX,CKA,52160900,Zamora,34,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,Normal,52160800,Uruapan,37,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,CKA,52260300,Navojoa,35,25.42857142857143,5740.3957142857142,0.0,0.0,0.0,0.0,0.0,null,null,0.102014,0.021678,0.030384,0.154076,23.029157,4.89382,6.858989,34.781966,22010,1476,216,0.06706042707860063,0.14634146341463414,0.009813721035892776,0.02702702702702703,0.016853932584269662,0.011235955056179775,0.1348314606741573,2
MX,Normal,52240400,San Luis Potosi,35,1995.5714285714287,441953.8571428571429,0.0,0.0,0.0,0.0,0.0,5,226.4285714285714,0.118915,0.021519,0.037601,0.178034,26.335732,4.765758,8.327308,39.428798,1149686,76521,14822,0.06655817327513773,0.19369846186014297,0.012892215787615053,0.017006802721088437,0.01546281050898418,0.016966139308468752,0.12381839014608995,127
