Country,city_name,stat_date(周),Daily Orders
MX,Poza Rica de Hidalgo,2024-11-25 / 2024-12-01,12
MX,Las Choapas,2024-11-25 / 2024-12-01,15
MX,Acapulco,2024-11-25 / 2024-12-01,52
MX,Chilpancingo de los Bravo,2024-11-25 / 2024-12-01,-
MX,Tehuacan,2024-11-25 / 2024-12-01,52
MX,Uruapan,2024-11-25 / 2024-12-01,0
MX,Coatzacoalcos,2024-11-25 / 2024-12-01,53
MX,Zamora,2024-11-25 / 2024-12-01,0
MX,Solidaridad,2024-11-25 / 2024-12-01,56
MX,Carmen,2024-11-25 / 2024-12-01,10
MX,Villahermosa,2024-11-25 / 2024-12-01,1659
MX,Chetumal,2024-11-25 / 2024-12-01,8
MX,Tuxtla Gutierrez,2024-11-25 / 2024-12-01,373
MX,Cancun,2024-11-25 / 2024-12-01,1293
MX,Tapachula,2024-11-25 / 2024-12-01,5
MX,Oaxaca,2024-11-25 / 2024-12-01,1022
MX,Cuernavaca,2024-11-25 / 2024-12-01,986
MX,Tlaxcala,2024-11-25 / 2024-12-01,49
MX,Campeche,2024-11-25 / 2024-12-01,27
MX,Morelia,2024-11-25 / 2024-12-01,961
MX,Pachuca,2024-11-25 / 2024-12-01,241
MX,Comitan de Dominguez,2024-11-25 / 2024-12-01,0
MX,Xalapa,2024-11-25 / 2024-12-01,61
MX,Cordoba,2024-11-25 / 2024-12-01,120
MX,San Cristobal de las Casas,2024-11-25 / 2024-12-01,29
MX,Veracruz,2024-11-25 / 2024-12-01,494
MX,Merida,2024-11-25 / 2024-12-01,949
MX,Puebla,2024-11-25 / 2024-12-01,2583
MX,Los Cabos,2024-11-25 / 2024-12-01,172
MX,Colima,2024-11-25 / 2024-12-01,127
MX,Manzanillo,2024-11-25 / 2024-12-01,150
MX,La Paz,2024-11-25 / 2024-12-01,135
MX,Puerto Vallarta,2024-11-25 / 2024-12-01,121
MX,Nogales(SON),2024-11-25 / 2024-12-01,0
MX,Ensenada,2024-11-25 / 2024-12-01,671
MX,Guaymas,2024-11-25 / 2024-12-01,0
MX,Navojoa,2024-11-25 / 2024-12-01,32
MX,Tepic,2024-11-25 / 2024-12-01,692
MX,Ciudad Obregon,2024-11-25 / 2024-12-01,631
MX,Mazatlan,2024-11-25 / 2024-12-01,641
MX,Culiacan,2024-11-25 / 2024-12-01,2156
MX,Tijuana,2024-11-25 / 2024-12-01,1711
MX,Mexicali,2024-11-25 / 2024-12-01,3967
MX,Los Mochis-Guasave,2024-11-25 / 2024-12-01,422
MX,Hermosillo,2024-11-25 / 2024-12-01,1320
MX,Guadalajara,2024-11-25 / 2024-12-01,9028
MX,Delicias,2024-11-25 / 2024-12-01,44
MX,San Miguel de Allende,2024-11-25 / 2024-12-01,0
MX,Irapuato,2024-11-25 / 2024-12-01,115
MX,Valles City,2024-11-25 / 2024-12-01,-
MX,Salamanca,2024-11-25 / 2024-12-01,29
MX,Celaya,2024-11-25 / 2024-12-01,260
MX,Nuevo Laredo,2024-11-25 / 2024-12-01,53
MX,Piedras Negras,2024-11-25 / 2024-12-01,-
MX,Matamoros,2024-11-25 / 2024-12-01,264
MX,Reynosa,2024-11-25 / 2024-12-01,0
MX,Monclova,2024-11-25 / 2024-12-01,0
MX,Torreon,2024-11-25 / 2024-12-01,1020
MX,Durango,2024-11-25 / 2024-12-01,1656
MX,Chihuahua,2024-11-25 / 2024-12-01,3127
MX,Jaurez CHIH,2024-11-25 / 2024-12-01,3822
MX,Victoria,2024-11-25 / 2024-12-01,178
MX,Saltillo,2024-11-25 / 2024-12-01,720
MX,Monterrey,2024-11-25 / 2024-12-01,8189
MX,Aguascalientes,2024-11-25 / 2024-12-01,629
MX,Zacatecas,2024-11-25 / 2024-12-01,203
MX,Tampico,2024-11-25 / 2024-12-01,967
MX,Leon,2024-11-25 / 2024-12-01,906
MX,San Juan del Río,2024-11-25 / 2024-12-01,160
MX,Queretaro,2024-11-25 / 2024-12-01,1407
MX,San Luis Potosi,2024-11-25 / 2024-12-01,684
MX,Mexico City,2024-11-25 / 2024-12-01,14031
MX,Toluca,2024-11-25 / 2024-12-01,1084
CO,Santa marta,2024-11-25 / 2024-12-01,-
CO,Villavicencio,2024-11-25 / 2024-12-01,0
CO,Valledupar,2024-11-25 / 2024-12-01,0
CO,Cúcuta,2024-11-25 / 2024-12-01,4
CO,Barranquilla,2024-11-25 / 2024-12-01,914
CO,Bucaramanga,2024-11-25 / 2024-12-01,323
CO,Manizales,2024-11-25 / 2024-12-01,0
CO,Medellín,2024-11-25 / 2024-12-01,5699
CO,Cartagena,2024-11-25 / 2024-12-01,61
CO,Ibagué,2024-11-25 / 2024-12-01,0
CO,Cali,2024-11-25 / 2024-12-01,1965
CO,Pereira,2024-11-25 / 2024-12-01,0
CO,"Bogotá, D.C.",2024-11-25 / 2024-12-01,8481
CR,Liberia,2024-11-25 / 2024-12-01,-
CR,Limon,2024-11-25 / 2024-12-01,-
CR,San Jose,2024-11-25 / 2024-12-01,2316
PE,Arequipa,2024-11-25 / 2024-12-01,-
PE,Trujillo,2024-11-25 / 2024-12-01,-
PE,Lima,2024-11-25 / 2024-12-01,1580
MX,Poza Rica de Hidalgo,2024-11-18 / 2024-11-24,12
MX,Las Choapas,2024-11-18 / 2024-11-24,12
MX,Acapulco,2024-11-18 / 2024-11-24,39
MX,Chilpancingo de los Bravo,2024-11-18 / 2024-11-24,-
MX,Tehuacan,2024-11-18 / 2024-11-24,53
MX,Uruapan,2024-11-18 / 2024-11-24,0
MX,Coatzacoalcos,2024-11-18 / 2024-11-24,49
MX,Zamora,2024-11-18 / 2024-11-24,0
MX,Solidaridad,2024-11-18 / 2024-11-24,54
MX,Tuxtla Gutierrez,2024-11-18 / 2024-11-24,371
MX,Chetumal,2024-11-18 / 2024-11-24,8
MX,Villahermosa,2024-11-18 / 2024-11-24,1610
MX,Carmen,2024-11-18 / 2024-11-24,9
MX,Cancun,2024-11-18 / 2024-11-24,1195
MX,Tapachula,2024-11-18 / 2024-11-24,5
MX,Oaxaca,2024-11-18 / 2024-11-24,979
MX,Cuernavaca,2024-11-18 / 2024-11-24,1034
MX,Campeche,2024-11-18 / 2024-11-24,23
MX,Tlaxcala,2024-11-18 / 2024-11-24,58
MX,Morelia,2024-11-18 / 2024-11-24,905
MX,Pachuca,2024-11-18 / 2024-11-24,225
MX,Cordoba,2024-11-18 / 2024-11-24,113
MX,Comitan de Dominguez,2024-11-18 / 2024-11-24,0
MX,Xalapa,2024-11-18 / 2024-11-24,62
MX,San Cristobal de las Casas,2024-11-18 / 2024-11-24,28
MX,Veracruz,2024-11-18 / 2024-11-24,513
MX,Merida,2024-11-18 / 2024-11-24,882
MX,Puebla,2024-11-18 / 2024-11-24,2641
MX,Los Cabos,2024-11-18 / 2024-11-24,179
MX,Colima,2024-11-18 / 2024-11-24,131
MX,Manzanillo,2024-11-18 / 2024-11-24,159
MX,La Paz,2024-11-18 / 2024-11-24,147
MX,Puerto Vallarta,2024-11-18 / 2024-11-24,142
MX,Nogales(SON),2024-11-18 / 2024-11-24,0
MX,Ensenada,2024-11-18 / 2024-11-24,686
MX,Guaymas,2024-11-18 / 2024-11-24,0
MX,Navojoa,2024-11-18 / 2024-11-24,30
MX,Ciudad Obregon,2024-11-18 / 2024-11-24,606
MX,Tepic,2024-11-18 / 2024-11-24,697
MX,Mazatlan,2024-11-18 / 2024-11-24,622
MX,Culiacan,2024-11-18 / 2024-11-24,2192
MX,Tijuana,2024-11-18 / 2024-11-24,1776
MX,Mexicali,2024-11-18 / 2024-11-24,3888
MX,Los Mochis-Guasave,2024-11-18 / 2024-11-24,411
MX,Hermosillo,2024-11-18 / 2024-11-24,1310
MX,Guadalajara,2024-11-18 / 2024-11-24,9050
MX,Delicias,2024-11-18 / 2024-11-24,47
MX,San Miguel de Allende,2024-11-18 / 2024-11-24,0
MX,Valles City,2024-11-18 / 2024-11-24,-
MX,Irapuato,2024-11-18 / 2024-11-24,128
MX,Salamanca,2024-11-18 / 2024-11-24,31
MX,Celaya,2024-11-18 / 2024-11-24,244
MX,Nuevo Laredo,2024-11-18 / 2024-11-24,55
MX,Matamoros,2024-11-18 / 2024-11-24,267
MX,Reynosa,2024-11-18 / 2024-11-24,0
MX,Piedras Negras,2024-11-18 / 2024-11-24,-
MX,Torreon,2024-11-18 / 2024-11-24,999
MX,Monclova,2024-11-18 / 2024-11-24,0
MX,Durango,2024-11-18 / 2024-11-24,1662
MX,Chihuahua,2024-11-18 / 2024-11-24,3120
MX,Victoria,2024-11-18 / 2024-11-24,184
MX,Jaurez CHIH,2024-11-18 / 2024-11-24,3877
MX,Saltillo,2024-11-18 / 2024-11-24,737
MX,Monterrey,2024-11-18 / 2024-11-24,7916
