Country,city_name,stat_date(周),Daily Orders
MX,Las Choapas,2024-11-25 / 2024-12-01,86
MX,Comitan de Dominguez,2024-11-25 / 2024-12-01,-
MX,Abejones,2024-11-25 / 2024-12-01,-
MX,Minatitlan,2024-11-25 / 2024-12-01,-
MX,Orizaba,2024-11-25 / 2024-12-01,0
MX,Tulancingo,2024-11-25 / 2024-12-01,-
MX,Uruapan,2024-11-25 / 2024-12-01,0
MX,La Piedad,2024-11-25 / 2024-12-01,-
MX,Chilpancingo de los Bravo,2024-11-25 / 2024-12-01,0
MX,Apizaco,2024-11-25 / 2024-12-01,-
MX,Zamora,2024-11-25 / 2024-12-01,-
MX,Carmen,2024-11-25 / 2024-12-01,209
MX,Cordoba,2024-11-25 / 2024-12-01,549
MX,San Cristobal de las Casas,2024-11-25 / 2024-12-01,244
MX,Chetumal,2024-11-25 / 2024-12-01,227
MX,Tehuacan,2024-11-25 / 2024-12-01,271
MX,Coatzacoalcos,2024-11-25 / 2024-12-01,264
MX,Veracruz,2024-11-25 / 2024-12-01,1325
MX,Tlaxcala,2024-11-25 / 2024-12-01,508
MX,Pachuca,2024-11-25 / 2024-12-01,471
MX,Poza Rica de Hidalgo,2024-11-25 / 2024-12-01,164
MX,Solidaridad,2024-11-25 / 2024-12-01,230
MX,Villahermosa,2024-11-25 / 2024-12-01,1655
MX,Acapulco,2024-11-25 / 2024-12-01,313
MX,Tuxtla Gutierrez,2024-11-25 / 2024-12-01,2427
MX,Cuernavaca,2024-11-25 / 2024-12-01,1996
MX,Cancun,2024-11-25 / 2024-12-01,2098
MX,Campeche,2024-11-25 / 2024-12-01,516
MX,Xalapa,2024-11-25 / 2024-12-01,362
MX,Morelia,2024-11-25 / 2024-12-01,2478
MX,Tapachula,2024-11-25 / 2024-12-01,250
MX,Puebla,2024-11-25 / 2024-12-01,3557
MX,Oaxaca,2024-11-25 / 2024-12-01,1702
MX,Merida,2024-11-25 / 2024-12-01,1411
MX,Guaymas,2024-11-25 / 2024-12-01,0
MX,Navojoa,2024-11-25 / 2024-12-01,279
MX,Nogales(SON),2024-11-25 / 2024-12-01,0
MX,Hermosillo,2024-11-25 / 2024-12-01,1922
MX,Tijuana,2024-11-25 / 2024-12-01,3386
MX,Colima,2024-11-25 / 2024-12-01,1345
MX,Mexicali,2024-11-25 / 2024-12-01,4864
MX,Los Mochis-Guasave,2024-11-25 / 2024-12-01,908
