Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Chetumal,CKA,2024-12-02 / 2024-12-08,1.0
MX,Poza Rica de Hidalgo,CKA,2024-12-02 / 2024-12-08,1.0
MX,Tehuacan,CKA,2024-12-02 / 2024-12-08,3.0
MX,Los Cabos,CKA,2024-12-02 / 2024-12-08,10.0
MX,Irapuato,CKA,2024-12-02 / 2024-12-08,6.0
MX,Ensenada,CKA,2024-12-02 / 2024-12-08,37.0
MX,Carmen,CKA,2024-12-02 / 2024-12-08,1.0
MX,Los Mochis-Guasave,CKA,2024-12-02 / 2024-12-08,20.0
MX,Monterrey,CKA,2024-12-02 / 2024-12-08,331.0
MX,Navojoa,CKA,2024-12-02 / 2024-12-08,3.0
MX,Coatzacoalcos,CKA,2024-12-02 / 2024-12-08,6.0
MX,Tampico,CKA,2024-12-02 / 2024-12-08,37.0
MX,Xalapa,CKA,2024-12-02 / 2024-12-08,2.0
MX,Acapulco,CKA,2024-12-02 / 2024-12-08,3.0
MX,Tijuana,CKA,2024-12-02 / 2024-12-08,123.0
MX,Queretaro,CKA,2024-12-02 / 2024-12-08,79.0
MX,Saltillo,CKA,2024-12-02 / 2024-12-08,42.0
MX,Chihuahua,CKA,2024-12-02 / 2024-12-08,156.0
MX,San Cristobal de las Casas,CKA,2024-12-02 / 2024-12-08,2.0
MX,Cuernavaca,CKA,2024-12-02 / 2024-12-08,62.0
MX,Hermosillo,CKA,2024-12-02 / 2024-12-08,78.0
MX,Tlaxcala,CKA,2024-12-02 / 2024-12-08,2.0
MX,Manzanillo,CKA,2024-12-02 / 2024-12-08,9.0
MX,La Paz,CKA,2024-12-02 / 2024-12-08,10.0
MX,Merida,CKA,2024-12-02 / 2024-12-08,48.0
MX,Aguascalientes,CKA,2024-12-02 / 2024-12-08,36.0
MX,Pachuca,CKA,2024-12-02 / 2024-12-08,16.0
MX,Celaya,CKA,2024-12-02 / 2024-12-08,11.0
MX,Tuxtla Gutierrez,CKA,2024-12-02 / 2024-12-08,14.0
MX,Zacatecas,CKA,2024-12-02 / 2024-12-08,9.0
MX,Puerto Vallarta,CKA,2024-12-02 / 2024-12-08,7.0
MX,Mexico City,CKA,2024-12-02 / 2024-12-08,774.0
MX,Villahermosa,CKA,2024-12-02 / 2024-12-08,61.0
MX,Culiacan,CKA,2024-12-02 / 2024-12-08,125.0
MX,Ciudad Obregon,CKA,2024-12-02 / 2024-12-08,40.0
MX,Tepic,CKA,2024-12-02 / 2024-12-08,35.0
MX,Durango,CKA,2024-12-02 / 2024-12-08,88.0
MX,Colima,CKA,2024-12-02 / 2024-12-08,10.0
MX,Puebla,CKA,2024-12-02 / 2024-12-08,140.0
MX,Solidaridad,CKA,2024-12-02 / 2024-12-08,2.0
MX,Oaxaca,CKA,2024-12-02 / 2024-12-08,51.0
MX,Cancun,CKA,2024-12-02 / 2024-12-08,52.0
MX,Nuevo Laredo,CKA,2024-12-02 / 2024-12-08,3.0
MX,Cordoba,CKA,2024-12-02 / 2024-12-08,11.0
MX,Toluca,CKA,2024-12-02 / 2024-12-08,54.0
MX,Mazatlan,CKA,2024-12-02 / 2024-12-08,28.0
MX,Delicias,CKA,2024-12-02 / 2024-12-08,3.0
MX,Guadalajara,CKA,2024-12-02 / 2024-12-08,476.0
MX,Salamanca,CKA,2024-12-02 / 2024-12-08,2.0
MX,Mexicali,CKA,2024-12-02 / 2024-12-08,162.0
MX,Victoria,CKA,2024-12-02 / 2024-12-08,13.0
MX,San Luis Potosi,CKA,2024-12-02 / 2024-12-08,37.0
MX,Morelia,CKA,2024-12-02 / 2024-12-08,45.0
MX,Torreon,CKA,2024-12-02 / 2024-12-08,49.0
MX,Veracruz,CKA,2024-12-02 / 2024-12-08,22.0
MX,Matamoros,CKA,2024-12-02 / 2024-12-08,17.0
MX,Leon,CKA,2024-12-02 / 2024-12-08,38.0
MX,Jaurez CHIH,CKA,2024-12-02 / 2024-12-08,168.0
