organization_type,country_code,city_name,stat_date(周),Daily Orders,R Burn / GMV,B2C / GMV,TED / GMV,Traffic,Shop Enter UV,B P1*P2,B Cancel Rate,AOP,ASP
Normal,MX,San Luis Potosi,2024-12-02 / 2024-12-08,2330,12.10%,0.023800000000000000,0.179500000000000000,1296597,93105,1.36%,1.80%,226.9794000000000,186.2342000000000
Normal,MX,Chetumal,2024-12-02 / 2024-12-08,231,12.07%,0.029100000000000000,0.198100000000000000,156453,11373,1.09%,1.57%,233.6828000000000,187.4017000000000
Normal,MX,Toluca,2024-12-02 / 2024-12-08,2116,16.20%,0.027700000000000000,0.219300000000000000,1485934,97395,1.09%,1.71%,245.5341000000000,191.6769000000000
Normal,MX,Saltillo,2024-12-02 / 2024-12-08,861,11.38%,0.010800000000000000,0.185600000000000000,927801,57475,0.79%,1.80%,293.4771000000000,239.0209000000000
Normal,MX,Reynosa,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,MX,Los Cabos,2024-12-02 / 2024-12-08,787,12.15%,0.016500000000000000,0.192500000000000000,401545,30960,1.45%,1.09%,317.9962000000000,256.7803000000000
Normal,MX,Tampico,2024-12-02 / 2024-12-08,1488,22.93%,0.037100000000000000,0.304800000000000000,971160,63737,1.13%,0.89%,258.3918000000000,179.6320000000000
Normal,MX,Cancun,2024-12-02 / 2024-12-08,2013,14.36%,0.028100000000000000,0.211600000000000000,1391446,88499,1.06%,1.13%,275.2105000000000,216.9693000000000
Normal,MX,Merida,2024-12-02 / 2024-12-08,1407,15.29%,0.030400000000000000,0.219000000000000000,1110965,74404,0.95%,2.04%,236.2830000000000,184.5306000000000
Normal,MX,Abejones,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,Poza Rica de Hidalgo,2024-12-02 / 2024-12-08,173,15.92%,0.020400000000000000,0.216400000000000000,133559,9452,0.98%,1.74%,229.2011000000000,179.6090000000000
Normal,MX,Tuxtla Gutierrez,2024-12-02 / 2024-12-08,2373,17.44%,0.023100000000000000,0.239400000000000000,1693181,109707,1.01%,0.84%,242.7664000000000,184.6468000000000
Normal,MX,Leon,2024-12-02 / 2024-12-08,2006,19.07%,0.021100000000000000,0.254200000000000000,1346713,89545,1.11%,1.65%,241.9852000000000,180.4807000000000
Normal,MX,Puebla,2024-12-02 / 2024-12-08,3580,23.08%,0.045900000000000000,0.304700000000000000,2545169,168422,1.05%,1.38%,244.0000000000000,169.6552000000000
Normal,MX,Carmen,2024-12-02 / 2024-12-08,215,18.32%,0.034500000000000000,0.265500000000000000,140007,10219,1.14%,1.74%,261.4852000000000,192.0711000000000
Normal,MX,Ensenada,2024-12-02 / 2024-12-08,2633,14.62%,0.016400000000000000,0.192200000000000000,1311572,95962,1.47%,1.01%,270.9344000000000,218.8711000000000
Normal,MX,Salamanca,2024-12-02 / 2024-12-08,199,16.96%,0.047100000000000000,0.242600000000000000,116058,7908,1.27%,1.86%,259.7934000000000,196.7698000000000
Normal,MX,Jaurez CHIH,2024-12-02 / 2024-12-08,4332,13.78%,0.021500000000000000,0.212700000000000000,2876761,205204,1.14%,1.37%,307.9144000000000,242.4235000000000
Normal,MX,Solidaridad,2024-12-02 / 2024-12-08,222,12.28%,0.006100000000000000,0.185300000000000000,170371,11170,0.95%,1.32%,304.7884000000000,248.3008000000000
Normal,MX,Zacatecas,2024-12-02 / 2024-12-08,659,12.49%,0.019500000000000000,0.175200000000000000,438376,29550,1.16%,2.20%,239.2534000000000,197.3283000000000
Normal,MX,Matamoros,2024-12-02 / 2024-12-08,1221,11.40%,0.025500000000000000,0.185600000000000000,1212142,77608,0.85%,1.47%,261.1213000000000,212.6608000000000
Normal,MX,Aguascalientes,2024-12-02 / 2024-12-08,1916,15.08%,0.019300000000000000,0.201700000000000000,1084238,76133,1.29%,1.64%,231.6878000000000,184.9585000000000
Normal,MX,Pachuca,2024-12-02 / 2024-12-08,492,16.16%,0.022900000000000000,0.215800000000000000,348874,21948,1.08%,1.36%,235.6897000000000,184.8320000000000
Normal,MX,Mazatlan,2024-12-02 / 2024-12-08,938,13.23%,0.015400000000000000,0.176200000000000000,691844,44083,1.02%,1.79%,257.6817000000000,212.2735000000000
Normal,MX,Coatzacoalcos,2024-12-02 / 2024-12-08,275,21.72%,0.045900000000000000,0.296500000000000000,254029,16779,0.80%,1.56%,291.1446000000000,204.8202000000000
Normal,MX,Mexico City,2024-12-02 / 2024-12-08,23946,15.81%,0.059400000000000000,0.257800000000000000,18465093,1207104,0.97%,1.58%,254.0566000000000,188.5576000000000
Normal,MX,Villahermosa,2024-12-02 / 2024-12-08,1634,18.15%,0.026100000000000000,0.237500000000000000,1230734,80291,0.97%,1.89%,259.1499000000000,197.5936000000000
Normal,MX,Tepic,2024-12-02 / 2024-12-08,1798,18.98%,0.017200000000000000,0.236900000000000000,1053019,73108,1.24%,1.32%,249.2298000000000,190.1944000000000
Normal,MX,Los Mochis-Guasave,2024-12-02 / 2024-12-08,927,11.77%,0.022300000000000000,0.173700000000000000,605700,42049,1.13%,1.67%,237.3227000000000,196.1032000000000
Normal,MX,Cordoba,2024-12-02 / 2024-12-08,547,12.35%,0.023600000000000000,0.192200000000000000,328880,23753,1.22%,1.79%,241.2572000000000,194.8761000000000
Normal,MX,Veracruz,2024-12-02 / 2024-12-08,1290,15.23%,0.033500000000000000,0.219600000000000000,945765,64230,1.00%,1.22%,225.9279000000000,176.3237000000000
Normal,MX,Manzanillo,2024-12-02 / 2024-12-08,600,11.41%,0.011000000000000000,0.163800000000000000,311110,22533,1.40%,1.45%,285.4319000000000,238.6656000000000
Normal,MX,Chihuahua,2024-12-02 / 2024-12-08,1812,16.09%,0.022400000000000000,0.218700000000000000,1337840,94342,1.03%,2.19%,280.9425000000000,219.5075000000000
Normal,MX,Monclova,2024-12-02 / 2024-12-08,0,-,-,-,19,3,0.00%,-,-,-
Normal,MX,Tehuacan,2024-12-02 / 2024-12-08,270,16.53%,0.026700000000000000,0.226400000000000000,217759,13785,0.92%,1.23%,245.6335000000000,190.0238000000000
